"id";"source";"name_short";"name_full";"name_norm";"born";"died";"linkname";"nationality";"region";"description";"image";"imgfull";"pageurl";"wordcount";"introduction";"rank";"spotify";"clicks";"catalogued";"female";"general";"view";"preview_music";"tier"
11;"Robert Schumann";"Schumann";"Robert Schumann";"Robert Schumann";1810;1856;"Robert_Schumann";"Germany";"A Austria-Germany";"German composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Robert_Schumann_1839.jpg/320px-Robert_Schumann_1839.jpg";"https://upload.wikimedia.org/wikipedia/commons/f/fa/Robert_Schumann_1839.jpg";"https://en.wikipedia.org/wiki/Robert_Schumann";5710;"Robert Schumann was a German composer and influential music critic. He is widely regarded as one of the greatest composers of the Romantic era. Schumann left the study of law, intending to pursue a career as a virtuoso pianist. His teacher, Friedrich Wieck, a German pianist, had assured him that he could become the finest pianist in Europe, but a hand injury ended this dream. Schumann then focused his musical energies on composing.";0.87;"{""context_uri"":""spotify:album:2lsUkFD1uOHxHIMsSoZhXg"",""offset"":{""position"":4},""position_ms"":193000}";174;1;0;0;18001900;"https://p.scdn.co/mp3-preview/c06095dc5ce8c3031eaad4bbb7ef77efe9234a14?cid=3796d35078a440fd9c34dd8eefe7d600";1
12;"Frédéric Chopin";"Chopin";"Frédéric Chopin";"Frederic Chopin";1810;1849;"Frédéric_Chopin";"Poland";"E Slavic Countries";"Polish composer and pianist";"https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/CHopin_SIgnature.svg/320px-CHopin_SIgnature.svg.png";"https://upload.wikimedia.org/wikipedia/commons/c/cd/CHopin_SIgnature.svg";"https://en.wikipedia.org/wiki/Frédéric_Chopin";12805;"Frédéric François Chopin was a Polish composer and virtuoso pianist of the Romantic era who wrote primarily for solo piano. He has maintained worldwide renown as a leading musician of his era, one whose ""poetic genius was based on a professional technique that was without equal in his generation."" All of Chopin's compositions include the piano. Most are for solo piano, though he also wrote two piano concertos, a few chamber pieces, and some 19 songs set to Polish lyrics. His piano writing was technically demanding and expanded the limits of the instrument: his own performances were noted for their nuance and sensitivity. Chopin invented the concept of the instrumental ballade. His major piano works also include mazurkas, waltzes, nocturnes, polonaises, études, impromptus, scherzos, preludes and sonatas, some published only posthumously.";0.95;"{""context_uri"":""spotify:album:4FWxd3KDner7ldOxOcSWOX"",""offset"":{""position"":12},""position_ms"":0}";98;1;0;0;18001880;"https://p.scdn.co/mp3-preview/bc2e0802bbe54e5a8be0f93e5dac70345d55522f?cid=3796d35078a440fd9c34dd8eefe7d600";1
13;"Felix Mendelssohn";"Mendelssohn";"Felix Mendelssohn";"Felix Mendelssohn";1809;1847;"Felix_Mendelssohn";"Germany";"A Austria-Germany";"German composer, pianist and organist";"https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Mendelssohn_Bartholdy.jpg/240px-Mendelssohn_Bartholdy.jpg";"https://upload.wikimedia.org/wikipedia/commons/8/87/Mendelssohn_Bartholdy.jpg";"https://en.wikipedia.org/wiki/Felix_Mendelssohn";11626;"Jakob Ludwig Felix Mendelssohn Bartholdy, born and widely known as Felix Mendelssohn, was a German composer, pianist, organist and conductor of the early romantic period. Mendelssohn wrote symphonies, concertos, oratorios, piano music and chamber music. His best-known works include his Overture and incidental music for A Midsummer Night's Dream, the Italian Symphony, the Scottish Symphony, the overture The Hebrides, his mature Violin Concerto, and his String Octet. His Songs Without Words are his most famous solo piano compositions. After a long period of relative denigration due to changing musical tastes and antisemitism in the late 19th and early 20th centuries, his creative originality has been re-evaluated. He is now among the most popular composers of the romantic era.";0.92;"{""context_uri"":""spotify:album:12X8N8vr1qgQ10Pfu2jA7H"",""offset"":{""position"":5},""position_ms"":0}";224;1;0;0;18001890;"https://p.scdn.co/mp3-preview/d89c60fb7ead4e80590f6eaf1fa878cf1affeabf?cid=3796d35078a440fd9c34dd8eefe7d600";1
14;"Claude Debussy";"Debussy";"Claude Debussy";"Claude Debussy";1862;1918;"Claude_Debussy";"France";"B France-Belgium";"19th and 20th-century French classical composer";"https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Claude_Debussy_atelier_Nadar.jpg/262px-Claude_Debussy_atelier_Nadar.jpg";"https://upload.wikimedia.org/wikipedia/en/b/b4/Claude_Debussy_atelier_Nadar.jpg";"https://en.wikipedia.org/wiki/Claude_Debussy";11756;"Achille-Claude Debussy was a French composer. He is sometimes seen as the first Impressionist composer, although he vigorously rejected the term. He was among the most influential composers of the late 19th and early 20th centuries. Debussy's orchestral works include Prélude à l'après-midi d'un faune (1894), Nocturnes (1897–1899) and Images (1905–1912). He took many years to develop his mature style, and was nearly 40 when he achieved international fame in 1902 with the only opera he completed, Pelléas et Mélisande. His music was to a considerable extent a reaction against Wagner and the German musical tradition.";0.91;"{""context_uri"":""spotify:album:4Y4JE6x9f4vZopMCpSdTwY"",""offset"":{""position"":15},""position_ms"":214100}";116;1;0;0;18601950;"https://p.scdn.co/mp3-preview/79531c59dbfc3679d23407dfdcb9a9461318c9a3?cid=3796d35078a440fd9c34dd8eefe7d600";1
15;"Franz Liszt";"Liszt";"Franz Liszt";"Franz Liszt";1811;1886;"Franz_Liszt";"Hungary";"A Austria-Germany";"Hungarian romantic composer and virtuoso pianist";"https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Franz_Liszt_by_Nadar%2C_March_1886.png/238px-Franz_Liszt_by_Nadar%2C_March_1886.png";"https://upload.wikimedia.org/wikipedia/commons/3/3a/Franz_Liszt_by_Nadar%2C_March_1886.png";"https://en.wikipedia.org/wiki/Franz_Liszt";9310;"Franz Liszt was a prolific 19th-century Hungarian composer, virtuoso pianist, conductor, music teacher, arranger, organist, philanthropist, author, nationalist and a Franciscan tertiary during the Romantic era.";0.82;"{""context_uri"":""spotify:album:4WTMwi8qBrLsZ6rwdK9q76"",""offset"":{""position"":10},""position_ms"":4400}";185;1;0;0;18001930;"https://p.scdn.co/mp3-preview/baef634095fc64d982e5e9901a833a597b667e83?cid=3796d35078a440fd9c34dd8eefe7d600";1
16;"Antonín Dvořák";"Dvořák";"Antonín Dvořák";"Antonin Dvorak";1841;1904;"Antonín_Dvořák";"Czech Republic";"E Slavic Countries";"Czech composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Dvorak.jpg/258px-Dvorak.jpg";"https://upload.wikimedia.org/wikipedia/commons/1/12/Dvorak.jpg";"https://en.wikipedia.org/wiki/Antonín_Dvořák";10240;"Antonín Leopold Dvořák was a Czech composer, one of the first to achieve worldwide recognition. Following the Romantic-era nationalist example of his predecessor Bedřich Smetana, Dvořák frequently employed rhythms and other aspects of the folk music of Moravia and his native Bohemia. Dvořák's own style has been described as ""the fullest recreation of a national idiom with that of the symphonic tradition, absorbing folk influences and finding effective ways of using them"".";0.91;"";39;1;0;0;18301940;"https://p.scdn.co/mp3-preview/b24df3ed3675521c7fdefbcdd4c936e1af35b5b2?cid=3796d35078a440fd9c34dd8eefe7d600";1
17;"Giuseppe Verdi";"Verdi";"Giuseppe Verdi";"Giuseppe Verdi";1813;1901;"Giuseppe_Verdi";"Italy";"C Italy";"Italian opera composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Verdi-photo-Brogi.jpg/273px-Verdi-photo-Brogi.jpg";"https://upload.wikimedia.org/wikipedia/commons/7/7c/Verdi-photo-Brogi.jpg";"https://en.wikipedia.org/wiki/Giuseppe_Verdi";13299;"Giuseppe Fortunino Francesco Verdi was an Italian opera composer. He was born near Busseto to a provincial family of moderate means, and developed a musical education with the help of a local patron. Verdi came to dominate the Italian opera scene after the era of Vincenzo Bellini, Gaetano Donizetti, and Gioachino Rossini, whose works significantly influenced him. By his 30s, he had become one of the pre-eminent opera composers in history.";0.98;"{""context_uri"":""spotify:album:4fXFgDAoHmYI9xO5qlKkAV"",""offset"":{""position"":29},""position_ms"":2500}";58;1;0;1;18001920;"https://p.scdn.co/mp3-preview/1cae061336f86b59086a659d7837d0ea57d1fb5a?cid=3796d35078a440fd9c34dd8eefe7d600";1
18;"Gustav Mahler";"Mahler";"Gustav Mahler";"Gustav Mahler";1860;1911;"Gustav_Mahler";"Austria";"A Austria-Germany";"late-Romantic Austrian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Photo_of_Gustav_Mahler_by_Moritz_N%C3%A4hr_01.jpg/268px-Photo_of_Gustav_Mahler_by_Moritz_N%C3%A4hr_01.jpg";"https://upload.wikimedia.org/wikipedia/commons/0/06/Photo_of_Gustav_Mahler_by_Moritz_N%C3%A4hr_01.jpg";"https://en.wikipedia.org/wiki/Gustav_Mahler";11888;"Gustav Mahler was an Austro-Bohemian late-Romantic composer, and one of the leading conductors of his generation. As a composer he acted as a bridge between the 19th century Austro-German tradition and the modernism of the early 20th century. While in his lifetime his status as a conductor was established beyond question, his own music gained wide popularity only after periods of relative neglect which included a ban on its performance in much of Europe during the Nazi era. After 1945 his compositions were rediscovered by a new generation of listeners; Mahler then became one of the most frequently performed and recorded of all composers, a position he has sustained into the 21st century. In 2016, a BBC Music Magazine survey of 151 conductors ranked three of his symphonies in the top ten symphonies of all time.";0.95;"";68;1;0;1;18501940;"https://p.scdn.co/mp3-preview/425239e07aaa04332ef90ed4c4f80f0cd29abf59?cid=3796d35078a440fd9c34dd8eefe7d600";1
19;"Antonio Vivaldi";"Vivaldi";"Antonio Vivaldi";"Antonio Vivaldi";1678;1741;"Antonio_Vivaldi";"Italy";"C Italy";"Italian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Vivaldi.jpg/268px-Vivaldi.jpg";"https://upload.wikimedia.org/wikipedia/commons/b/bd/Vivaldi.jpg";"https://en.wikipedia.org/wiki/Antonio_Vivaldi";5554;"Antonio Lucio Vivaldi was an Italian Baroque musical composer, virtuoso violinist, teacher, and priest. Born in Venice, the capital of the Venetian Republic, he is regarded as one of the greatest Baroque composers, and his influence during his lifetime was widespread across Europe. He composed many instrumental concertos, for the violin and a variety of other instruments, as well as sacred choral works and more than forty operas. His best-known work is a series of violin concertos known as the Four Seasons.";0.71;"{""context_uri"":""spotify:album:2IEzCtu80Jwv9bLHk7noxa"",""offset"":{""position"":7},""position_ms"":0}";105;1;0;0;16701790;"https://p.scdn.co/mp3-preview/017fb201dbf2fda969144fcf710a5cd8d4419bd1?cid=774b29d4f13844c495f206cafdad9c86";1
20;"Richard Strauss";"Strauss";"Richard Strauss";"Richard Strauss";1864;1949;"Richard_Strauss";"Germany";"A Austria-Germany";"German composer and orchestra director";"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Max_Liebermann_Bildnis_Richard_Strauss.jpg/251px-Max_Liebermann_Bildnis_Richard_Strauss.jpg";"https://upload.wikimedia.org/wikipedia/commons/c/c8/Max_Liebermann_Bildnis_Richard_Strauss.jpg";"https://en.wikipedia.org/wiki/Richard_Strauss";6515;"Richard Georg Strauss was a leading German composer of the late Romantic and early modern eras. He is known for his operas, which include Der Rosenkavalier, Elektra, Die Frau ohne Schatten and Salome; his Lieder, especially his Four Last Songs; his tone poems, including Don Juan, Death and Transfiguration, Till Eulenspiegel's Merry Pranks, Also sprach Zarathustra, Ein Heldenleben, Symphonia Domestica, and An Alpine Symphony; and other instrumental works such as Metamorphosen and his Oboe Concerto. Strauss was also a prominent conductor in Western Europe and the Americas, enjoying quasi-celebrity status as his compositions became standards of orchestral and operatic repertoire.";0.91;"{""context_uri"": ""spotify:album:3yTUISVAEwNyic01MmXvbC"", ""offset"": {""position"": 0}, ""position_ms"": 0}";73;1;0;0;18602000;"https://p.scdn.co/mp3-preview/7b932233766dcbca27ea5df8201c28a3efea5e9a?cid=3796d35078a440fd9c34dd8eefe7d600";1
