"id";"source";"name_short";"name_full";"name_norm";"born";"died";"linkname";"nationality";"region";"description";"image";"imgfull";"pageurl";"wordcount";"introduction";"rank";"spotify";"clicks";"catalogued";"female";"general";"view";"preview_music";"tier"
69;"Leoš Janáček";"Janáček";"Leoš Janáček";"Leos Janacek";1854;1928;"Leoš_Janáček";"Czech Republic";"E Slavic Countries";"Czech composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Leos_Janacek_signature.svg/320px-Leos_Janacek_signature.svg.png";"https://upload.wikimedia.org/wikipedia/commons/1/17/Leos_Janacek_signature.svg";"https://en.wikipedia.org/wiki/Leoš_Janáček";7363;"Leoš Janáček was a Czech composer, musical theorist, folklorist, publicist and teacher. He was inspired by Moravian and other Slavic folk music to create an original, modern musical style.";0.84;"";24;1;0;0;18501950;"https://p.scdn.co/mp3-preview/aacefc840af3d0828250e9830b935a3302f46aa1?cid=3796d35078a440fd9c34dd8eefe7d600";1
70;"Guillaume de Machaut";"Machaut";"Guillaume de Machaut";"Guillaume de Machaut";1300;1377;"Guillaume_de_Machaut";"France";"B France-Belgium";"French poet and composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Machaut_1.jpg/320px-Machaut_1.jpg";"https://upload.wikimedia.org/wikipedia/commons/0/0a/Machaut_1.jpg";"https://en.wikipedia.org/wiki/Guillaume_de_Machaut";3151;"Guillaume de Machaut was a medieval French poet and composer. He is regarded by many musicologists as the greatest and most important composer of the 14th century. Machaut is one of the earliest composers on whom substantial biographical information is available, and Daniel Leech-Wilkinson called him ""the last great poet who was also a composer"". Well into the 15th century, Machaut's poetry was greatly admired and imitated by other poets, including Geoffrey Chaucer.";0.13;"{""context_uri"":""spotify:album:7sYQxue1rCYb4d4yJQuxkO"",""offset"":{""position"":12},""position_ms"":120000}";2;0;0;0;0;"https://p.scdn.co/mp3-preview/d92977f8b0a22aee3ac1a87adde4d0e500ebb517?cid=3796d35078a440fd9c34dd8eefe7d600";2
71;"Alban Berg";"Berg";"Alban Berg";"Alban Berg";1885;1935;"Alban_Berg";"Austria";"A Austria-Germany";"Austrian composer";"https://upload.wikimedia.org/wikipedia/commons/d/d6/WP_Alban_Berg.jpg";"https://upload.wikimedia.org/wikipedia/commons/d/d6/WP_Alban_Berg.jpg";"https://en.wikipedia.org/wiki/Alban_Berg";2611;"Alban Maria Johannes Berg was an Austrian composer of the Second Viennese School. His compositional style combined Romantic lyricism with twelve-tone technique.";0.77;"";0;0;0;0;0;"https://p.scdn.co/mp3-preview/9e0341277a05fe3f4c38640ba234deab3542bcd6?cid=3796d35078a440fd9c34dd8eefe7d600";2
72;"Alexander Borodin";"Borodin";"Alexander Borodin";"Alexander Borodin";1833;1887;"Alexander_Borodin";"Russian Federation";"D Russia";"Russian composer, doctor and chemist";"https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Borodin.jpg/232px-Borodin.jpg";"https://upload.wikimedia.org/wikipedia/commons/7/70/Borodin.jpg";"https://en.wikipedia.org/wiki/Alexander_Borodin";2512;"Alexander Porfiryevich Borodin was a Russian Romantic composer of Georgian origin. He was one of the prominent 19th-century composers known as The Mighty Handful, a group dedicated to producing a uniquely Russian kind of classical music, rather than imitating earlier Western European models. Borodin is best known for his symphonies, his two string quartets, the tone poem In the Steppes of Central Asia and his opera Prince Igor. Music from Prince Igor and his string quartets was later adapted for the US musical Kismet.";0.58;"{""context_uri"":""spotify:album:0dqOPzSjsaPgjkoaP9VWnU"",""offset"":{""position"":3},""position_ms"":47500}";3;0;0;0;0;"https://p.scdn.co/mp3-preview/2c182de49bca2a73869d90b11e23f399498f2ab5?cid=3796d35078a440fd9c34dd8eefe7d600";2
73;"Vincenzo Bellini";"Bellini";"Vincenzo Bellini";"Vincenzo Bellini";1801;1835;"Vincenzo_Bellini";"Italy";"C Italy";"Italian opera composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Vincenzo_bellini.jpg/240px-Vincenzo_bellini.jpg";"https://upload.wikimedia.org/wikipedia/commons/5/5a/Vincenzo_bellini.jpg";"https://en.wikipedia.org/wiki/Vincenzo_Bellini";16315;"Vincenzo Salvatore Carmelo Francesco Bellini was an Italian opera composer, who was known for his long-flowing melodic lines for which he was named ""the Swan of Catania"". Many years later, in 1898, Giuseppe Verdi ""praised the broad curves of Bellini's melody: 'there are extremely long melodies as no-one else had ever made before'.""";0.89;"{""context_uri"": ""spotify:album:0O4hoGNzkO2XkjGh7DUCTn"", ""offset"": {""position"": 7}, ""position_ms"": 79000}";40;1;0;1;17901850;"https://p.scdn.co/mp3-preview/95d455550d7b40d8fa7c0ecf1ed0456aaa7398e0?cid=3796d35078a440fd9c34dd8eefe7d600";1
74;"Charles Gounod";"Gounod";"Charles Gounod";"Charles Gounod";1818;1893;"Charles_Gounod";"France";"B France-Belgium";"French composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Charles_Gounod_%281890%29_by_Nadar.jpg/218px-Charles_Gounod_%281890%29_by_Nadar.jpg";"https://upload.wikimedia.org/wikipedia/commons/e/e4/Charles_Gounod_%281890%29_by_Nadar.jpg";"https://en.wikipedia.org/wiki/Charles_Gounod";1535;"Charles-François Gounod was a French composer, best known for his Ave Maria, based on a work by Bach, as well as his opera Faust. Another opera by Gounod still performed is Roméo et Juliette.";0.61;"";2;0;0;0;0;"https://p.scdn.co/mp3-preview/f22c35177b9c4b3517cf0fb9a3a0fef74f9c16a1?cid=3796d35078a440fd9c34dd8eefe7d600";2
75;"Jules Massenet";"Massenet";"Jules Massenet";"Jules Massenet";1842;1912;"Jules_Massenet";"France";"B France-Belgium";"French composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Jules_Massenet_by_Eug%C3%A8ne_Pirou.jpg/219px-Jules_Massenet_by_Eug%C3%A8ne_Pirou.jpg";"https://upload.wikimedia.org/wikipedia/commons/8/80/Jules_Massenet_by_Eug%C3%A8ne_Pirou.jpg";"https://en.wikipedia.org/wiki/Jules_Massenet";7765;"Jules Émile Frédéric Massenet was a French composer of the Romantic era best known for his operas, of which he wrote more than thirty. The two most frequently staged are Manon (1884) and Werther (1892). He also composed oratorios, ballets, orchestral works, incidental music, piano pieces, songs and other music.";0.76;"";2;0;0;0;0;"https://p.scdn.co/mp3-preview/58ca9c4be777c7573ce8868949bc87063640ee41?cid=3796d35078a440fd9c34dd8eefe7d600";2
76;"Francis Poulenc";"Poulenc";"Francis Poulenc";"Francis Poulenc";1899;1963;"Francis_Poulenc";"France";"B France-Belgium";"French composer";"https://upload.wikimedia.org/wikipedia/en/b/b8/Poulenc-1922.jpg";"https://upload.wikimedia.org/wikipedia/en/b/b8/Poulenc-1922.jpg";"https://en.wikipedia.org/wiki/Francis_Poulenc";11329;"Francis Jean Marcel Poulenc was a French composer and pianist. His compositions include mélodies, solo piano works, chamber music, choral pieces, operas, ballets, and orchestral concert music. Among the best-known are the piano suite Trois mouvements perpétuels (1919), the ballet Les biches (1923), the Concert champêtre (1928) for harpsichord and orchestra, the Organ Concerto (1938), the opera Dialogues des Carmélites (1957), and the Gloria (1959) for soprano, choir and orchestra.";0.75;"";5;0;0;0;0;"https://p.scdn.co/mp3-preview/d4ab2ed2ccba0fc9e052416e906331134e7f4b6e?cid=3796d35078a440fd9c34dd8eefe7d600";3
77;"Giovanni Gabrieli";"Gabrieli";"Giovanni Gabrieli";"Giovanni Gabrieli";1554;1612;"Giovanni_Gabrieli";"Italy";"C Italy";"Italian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Venezia_-_Santo_Stefano_-_Tomba_di_Giovanni_Gabrieli_%281612_e_1956%29_-_Foto_Giovanni_Dall%27Orto%2C_12-Aug-2007_-_02.jpg/320px-Venezia_-_Santo_Stefano_-_Tomba_di_Giovanni_Gabrieli_%281612_e_1956%";"https://upload.wikimedia.org/wikipedia/commons/6/61/Venezia_-_Santo_Stefano_-_Tomba_di_Giovanni_Gabrieli_%281612_e_1956%29_-_Foto_Giovanni_Dall%27Orto%2C_12-Aug-2007_-_02.jpg";"https://en.wikipedia.org/wiki/Giovanni_Gabrieli";2377;"Giovanni Gabrieli was an Italian composer and organist. He was one of the most influential musicians of his time, and represents the culmination of the style of the Venetian School, at the time of the shift from Renaissance to Baroque idioms.";0.11;"";3;0;0;0;0;"https://p.scdn.co/mp3-preview/88be57dca382c8eab4b20a553db0e66c062b7612?cid=3796d35078a440fd9c34dd8eefe7d600";0
78;"Pérotin";"Pérotin";"Pérotin";"Perotin";1160;1225;"Pérotin";"France";"B France-Belgium";"French composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Perotin_-_Alleluia_nativitas.jpg/199px-Perotin_-_Alleluia_nativitas.jpg";"https://upload.wikimedia.org/wikipedia/commons/1/12/Perotin_-_Alleluia_nativitas.jpg";"https://en.wikipedia.org/wiki/Pérotin";1795;"Pérotin, also called Perotin the Great, was a European composer, believed to be French, who lived around the end of the 12th and beginning of the 13th century. He was the most famous member of the Notre Dame school of polyphony and the ars antiqua style. He was one of very few composers of his day whose name has been preserved, and can be reliably attached to individual compositions; this is due to the testimony of an anonymous English student at Notre Dame known as Anonymous IV, who wrote about him and his predecessor Léonin. Anonymous IV called him ""Magister Perotinus"". The title, employed also by Johannes de Garlandia, means that Perotinus, like Leoninus, earned the degree magister artium, almost certainly in Paris, and that he was licensed to teach. The name Perotinus, the Latin diminutive of Petrus, is assumed to be derived from the French name Pérotin, diminutive of Pierre. The diminutive was presumably a mark of respect bestowed by his colleagues. He was also designated ""magnus"" by Anonymous IV, a mark of the esteem in which he was held, even long after his death.";0.09;"{""context_uri"":""spotify:album:5kZW1eLPUuntVmdiph4BwB"",""offset"":{""position"":6},""position_ms"":3000}";5;0;0;0;0;"https://p.scdn.co/mp3-preview/6f80dfd0595688fda32fe824fdaa5639d7e3e860?cid=3796d35078a440fd9c34dd8eefe7d600";3
79;"Heinrich Schütz";"Schütz";"Heinrich Schütz";"Heinrich Schutz";1585;1672;"Heinrich_Schütz";"Germany";"A Austria-Germany";"German composer and organist";"https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Schutz.jpg/215px-Schutz.jpg";"https://upload.wikimedia.org/wikipedia/commons/2/28/Schutz.jpg";"https://en.wikipedia.org/wiki/Heinrich_Schütz";1747;"Heinrich Schütz was a German composer and organist, generally regarded as the most important German composer before Johann Sebastian Bach, as well as one of the most important composers of the 17th century. He wrote what is traditionally considered to be the first German opera, Dafne, performed at Torgau in 1627, the music of which has since been lost.";0.09;"";11;0;0;0;0;"https://p.scdn.co/mp3-preview/2f76e6bbf3be9013171957cbf0652447ed72e221?cid=3796d35078a440fd9c34dd8eefe7d600";3
80;"John Cage";"Cage";"John Cage";"John Cage";1912;1992;"John_Cage";"United States";"H United States";"American avant-garde composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/John_Cage_%281988%29.jpg/240px-John_Cage_%281988%29.jpg";"https://upload.wikimedia.org/wikipedia/commons/2/23/John_Cage_%281988%29.jpg";"https://en.wikipedia.org/wiki/John_Cage";11507;"John Milton Cage Jr. was an American composer and music theorist. A pioneer of indeterminacy in music, electroacoustic music, and non-standard use of musical instruments, Cage was one of the leading figures of the post-war avant-garde. Critics have lauded him as one of the most influential composers of the 20th century. He was also instrumental in the development of modern dance, mostly through his association with choreographer Merce Cunningham, who was also Cage's romantic partner for most of their lives.";0.27;"";6;0;0;0;0;"https://p.scdn.co/mp3-preview/e536080fe83f5c7ea6c7b44fb8c8fa3183f83ba4?cid=3796d35078a440fd9c34dd8eefe7d600";2
81;"Giovanni Battista Pergolesi";"Pergolesi";"Giovanni Battista Pergolesi";"Giovanni Battista Pergolesi";1710;1736;"Giovanni_Battista_Pergolesi";"Italy";"C Italy";"composer from Italy";"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Pergolesi.jpg/249px-Pergolesi.jpg";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Pergolesi.jpg";"https://en.wikipedia.org/wiki/Giovanni_Battista_Pergolesi";1298;"Giovanni Battista Draghi, often referred to as Giovanni Battista Pergolesi, was an Italian composer, violinist and organist. His best-known works include his Stabat Mater and the opera La serva padrona. His compositions include comic operas and sacred music. He died of tuberculosis at the very young age of 26.";0.33;"{""context_uri"":""spotify:album:6zTCcROn9gwVEOaz1d9r82"",""offset"":{""position"":6},""position_ms"":14000}";3;0;0;0;0;"https://p.scdn.co/mp3-preview/7214a290592ebc7ff263d563ee44d7aaded28d97?cid=3796d35078a440fd9c34dd8eefe7d600";2
82;"John Dowland";"Dowland";"John Dowland";"John Dowland";1563;1626;"John_Dowland";"United Kingdom";"C2 England";"English Renaissance composer, lutenist, and singer";"";"";"https://en.wikipedia.org/wiki/John_Dowland";3904;"John Dowland was an English Renaissance composer, lutenist, and singer. He is best known today for his melancholy songs such as ""Come, heavy sleep"", ""Come again"", ""Flow my tears"", ""I saw my Lady weepe"" and ""In darkness let me dwell"", but his instrumental music has undergone a major revival, and with the 20th century's early music revival, has been a continuing source of repertoire for lutenists and classical guitarists.";0.15;"";5;0;0;0;0;"https://p.scdn.co/mp3-preview/8406892fcae91e14b7623ce28fc2cbf770ec6eb1?cid=3796d35078a440fd9c34dd8eefe7d600";3
83;"Gustav Holst";"Holst";"Gustav Holst";"Gustav Holst";1874;1934;"Gustav_Holst";"United Kingdom";"C2 England";"English composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Gustav_Holst.jpg/247px-Gustav_Holst.jpg";"https://upload.wikimedia.org/wikipedia/commons/0/01/Gustav_Holst.jpg";"https://en.wikipedia.org/wiki/Gustav_Holst";11547;"Gustav Theodore Holst was an English composer, arranger and teacher. Best known for his orchestral suite The Planets, he composed a large number of other works across a range of genres, although none achieved comparable success. His distinctive compositional style was the product of many influences, Richard Wagner and Richard Strauss being most crucial early in his development. The subsequent inspiration of the English folksong revival of the early 20th century, and the example of such rising modern composers as Maurice Ravel, led Holst to develop and refine an individual style.";0.23;"{""context_uri"":""spotify:album:7KvFOQx9nkq2hkleBgCZF7"",""offset"":{""position"":1},""position_ms"":0}";6;0;0;0;0;"https://p.scdn.co/mp3-preview/7bec00d17ccb016d83bb19c028e7d45bae093a15?cid=3796d35078a440fd9c34dd8eefe7d600";2
84;"Dieterich Buxtehude";"Buxtehude";"Dietrich Buxtehude";"Dietrich Buxtehude";1637;1707;"Dieterich_Buxtehude";"Denmark";"A Austria-Germany";"Danish-German organist and composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Imagebuxtehude.jpg/215px-Imagebuxtehude.jpg";"https://upload.wikimedia.org/wikipedia/commons/e/ee/Imagebuxtehude.jpg";"https://en.wikipedia.org/wiki/Dieterich_Buxtehude";4627;"Dieterich Buxtehude was a Danish-German organist and composer of the Baroque period. His organ works represent a central part of the standard organ repertoire and are frequently performed at recitals and in church services. He composed in a wide variety of vocal and instrumental idioms, and his style strongly influenced many composers, including Johann Sebastian Bach. Today, Buxtehude is considered one of the most important composers in Germany of the mid-Baroque.";0.17;"{""context_uri"":""spotify:album:7KL2Z8CcCIZOXQQkunQhOE"",""offset"":{""position"":25},""position_ms"":0}";8;0;0;0;0;"https://p.scdn.co/mp3-preview/a08b98f183a1f515a86c446a5c2f0e41cf7f95e0?cid=3796d35078a440fd9c34dd8eefe7d600";3
85;"Guillaume Du Fay";"Dufay";"Guillaume Du Fay";"Guillaume Du Fay";1400;1474;"Guillaume_Du_Fay";"Belgium";"B France-Belgium";"Netherlandish Renaissance composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/DufayBinchois.jpg/320px-DufayBinchois.jpg";"https://upload.wikimedia.org/wikipedia/commons/4/4f/DufayBinchois.jpg";"https://en.wikipedia.org/wiki/Guillaume_Du_Fay";2931;"Guillaume Du Fay was a Franco-Flemish composer of the early Renaissance. A central figure in the Burgundian School, he was regarded by his contemporaries as one of the leading composers in Europe in the mid-15th century.His uniquely contrapuntal and complex motet ""Nuper rosarum flores"" demonstrates the influential exchange of musical ideas among artists around the world during the early Renaissance period.";0.13;"{""context_uri"":""spotify:album:4dhdC05gC54Fmd52058w8I"",""offset"":{""position"":2},""position_ms"":1000}";1;0;0;0;0;"https://p.scdn.co/mp3-preview/cdb665eefa1f4d82e6048ed33e8860328479a69e?cid=3796d35078a440fd9c34dd8eefe7d600";3
86;"Hugo Wolf";"Wolf";"Hugo Wolf";"Hugo Wolf";1860;1903;"Hugo_Wolf";"Austria";"A Austria-Germany";"Austrian composer of Slovene origin";"https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Hugo_Wolf.jpg/225px-Hugo_Wolf.jpg";"https://upload.wikimedia.org/wikipedia/commons/7/7d/Hugo_Wolf.jpg";"https://en.wikipedia.org/wiki/Hugo_Wolf";3569;"Hugo Philipp Jacob Wolf was an Austrian composer of Slovene origin, particularly noted for his art songs, or Lieder. He brought to this form a concentrated expressive intensity which was unique in late Romantic music, somewhat related to that of the Second Viennese School in concision but diverging greatly in technique.";0.15;"";4;0;0;0;0;"https://p.scdn.co/mp3-preview/708107bb0e2649a1ea13aac1f833f3143b7439d4?cid=3796d35078a440fd9c34dd8eefe7d600";0
87;"Carl Nielsen";"Nielsen";"Carl Nielsen";"Carl Nielsen";1865;1931;"Carl_Nielsen";"Denmark";"F Nordic Countries";"Danish composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Carl_Nielsen_c._1908_-_Restoration.jpg/217px-Carl_Nielsen_c._1908_-_Restoration.jpg";"https://upload.wikimedia.org/wikipedia/commons/5/5d/Carl_Nielsen_c._1908_-_Restoration.jpg";"https://en.wikipedia.org/wiki/Carl_Nielsen";9860;"Carl August Nielsen was a Danish musician, conductor and violinist, widely recognized as his country's most prominent composer.";0.81;"";27;1;0;0;18601980;"https://p.scdn.co/mp3-preview/910e63c8c875a50491ea55a69757368d728f3098?cid=3796d35078a440fd9c34dd8eefe7d600";1
88;"William Walton";"Walton";"William Walton";"William Walton";1902;1983;"William_Walton";"United Kingdom";"C2 England";"English composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Sir_William_Turner_Walton.jpg/241px-Sir_William_Turner_Walton.jpg";"https://upload.wikimedia.org/wikipedia/commons/1/1a/Sir_William_Turner_Walton.jpg";"https://en.wikipedia.org/wiki/William_Walton";7793;"Sir William Turner Walton, OM was an English composer. During a sixty-year career, he wrote music in several classical genres and styles, from film scores to opera. His best-known works include Façade, the cantata Belshazzar's Feast, the Viola Concerto, the First Symphony, and the British coronation anthems Crown Imperial and Orb and Sceptre.";0.46;"";1;0;0;0;0;"https://p.scdn.co/mp3-preview/1ac311b3686787b17a7bb2312607b2a1ec7331f6?cid=3796d35078a440fd9c34dd8eefe7d600";0
89;"Darius Milhaud";"Milhaud";"Darius Milhaud";"Darius Milhaud";1892;1974;"Darius_Milhaud";"France";"B France-Belgium";"French composer and teacher";"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Darius_Milhaud_1923.jpg/242px-Darius_Milhaud_1923.jpg";"https://upload.wikimedia.org/wikipedia/commons/f/f8/Darius_Milhaud_1923.jpg";"https://en.wikipedia.org/wiki/Darius_Milhaud";1351;"Darius Milhaud was a French composer, conductor, and teacher. He was a member of Les Six—also known as The Group of Six—and one of the most prolific composers of the 20th century. His compositions are influenced by jazz and Brazilian music and make extensive use of polytonality. Milhaud is considered one of the key modernist composers.";0.05;"";0;0;0;0;0;"https://p.scdn.co/mp3-preview/3ce016a9af8af886e78002f14bcba65a3932e7c1?cid=3796d35078a440fd9c34dd8eefe7d600";0
90;"Orlando Gibbons";"Gibbons";"Orlando Gibbons";"Orlando Gibbons";1583;1625;"Orlando_Gibbons";"United Kingdom";"C2 England";"English composer, virginalist and organist";"https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Orlando_Gibbons.jpg/249px-Orlando_Gibbons.jpg";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Orlando_Gibbons.jpg";"https://en.wikipedia.org/wiki/Orlando_Gibbons";1664;"Orlando Gibbons was an English composer, virginalist and organist of the late Tudor and early Jacobean periods. He was a leading composer in England in the early 17th century.";0.07;"";2;0;0;0;0;"https://p.scdn.co/mp3-preview/4b3e8bce0c15aabfd51dca50dce538bcd183dcdf?cid=3796d35078a440fd9c34dd8eefe7d600";0
91;"Giacomo Meyerbeer";"Meyerbeer";"Giacomo Meyerbeer";"Giacomo Meyerbeer";1791;1864;"Giacomo_Meyerbeer";"Germany";"A Austria-Germany";"German-born opera composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg/243px-Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg";"https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg";"https://en.wikipedia.org/wiki/Giacomo_Meyerbeer";9522;"Giacomo Meyerbeer was a German opera composer of Jewish birth who has been described as perhaps the most successful stage composer of the nineteenth century. With his 1831 opera Robert le diable and its successors, he gave the genre of grand opera 'decisive character'. Meyerbeer's grand opera style was achieved by his merging of German orchestra style with Italian vocal tradition. These were employed in the context of sensational and melodramatic libretti created by Eugène Scribe and were enhanced by the up-to-date theatre technology of the Paris Opéra. They set a standard which helped to maintain Paris as the opera capital of the nineteenth century.";0.58;"{""context_uri"":""spotify:album:3ZAw6MFypNFab3UFwVmym0"",""offset"":{""position"":13},""position_ms"":0}";4;0;0;0;0;"https://p.scdn.co/mp3-preview/74ce727a52aa6135e4e3d91790968a2f99982bc1?cid=3796d35078a440fd9c34dd8eefe7d600";2
92;"Samuel Barber";"Barber";"Samuel Barber";"Samuel Barber";1910;1981;"Samuel_Barber";"United States";"H United States";"American composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Samuel_Barber.jpg/229px-Samuel_Barber.jpg";"https://upload.wikimedia.org/wikipedia/commons/9/91/Samuel_Barber.jpg";"https://en.wikipedia.org/wiki/Samuel_Barber";3028;"Samuel Osborne Barber II was an American composer of orchestral, opera, choral, and piano music. He is one of the most celebrated composers of the 20th century; music critic Donal Henahan stated that ""probably no other American composer has ever enjoyed such early, such persistent and such long-lasting acclaim."".";0.52;"";0;0;0;0;0;"https://p.scdn.co/mp3-preview/2bd78276d32e1fcf195f1d6e3f00287fc3a0ad74?cid=3796d35078a440fd9c34dd8eefe7d600";2
93;"Tomás Luis de Victoria";"Victoria";"Tomás Luis de Victoria";"Tomas Luis de Victoria";1548;1611;"Tomás_Luis_de_Victoria";"Spain";"C3 Spain";"composer of the 23th century";"https://upload.wikimedia.org/wikipedia/commons/c/c3/Tom%C3%A1s_Luis_de_Victoria.jpg";"https://upload.wikimedia.org/wikipedia/commons/c/c3/Tom%C3%A1s_Luis_de_Victoria.jpg";"https://en.wikipedia.org/wiki/Tomás_Luis_de_Victoria";1879;"Tomás Luis de Victoria was the most famous composer in 16th-century Spain, and was one of the most important composers of the Counter-Reformation, along with Giovanni Pierluigi da Palestrina and Orlando di Lasso. Victoria was not only a composer, but also an accomplished organist and singer as well as a Catholic priest. However, he preferred the life of a composer to that of a performer.";0.09;"{""context_uri"": ""spotify:album:2bPLEqiBA0reFRC2kyBrBQ"", ""offset"": {""position"": 8}, ""position_ms"": 0}";5;0;0;0;0;"https://p.scdn.co/mp3-preview/f30bfa1df1474a61caf59049c69c2522ad6a351e?cid=3796d35078a440fd9c34dd8eefe7d600";0
94;"Léonin";"Léonin";"Léonin";"Leonin";1150;1201;"Léonin";"France";"B France-Belgium";"Twelfth century composer associated with polyphony in Notre Dame";"";"";"https://en.wikipedia.org/wiki/Léonin";452;"Léonin was the first known significant composer of polyphonic organum. He was probably French, probably lived and worked in Paris at the Notre Dame Cathedral and was the earliest member of the Notre Dame school of polyphony and the ars antiqua style who is known by name. The name Léonin is derived from ""Leoninus,"" which is the Latin diminutive of the name Leo; therefore it is likely that Léonin's given French name was Léo.";0.01;"{""context_uri"":""spotify:album:0Bb5GQ7nB7ig8EzjbXr4Kv"",""offset"":{""position"":2},""position_ms"":0}";7;0;0;0;0;"https://p.scdn.co/mp3-preview/6f8cdd09a0606bc7018cfc02142b242ac7d5cccf?cid=3796d35078a440fd9c34dd8eefe7d600";3
95;"Manuel de Falla";"Falla";"Manuel de Falla";"Manuel de Falla";1876;1946;"Manuel_de_Falla";"Spain";"C3 Spain";"Spanish composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/ManuelDeFalla.JPG/233px-ManuelDeFalla.JPG";"https://upload.wikimedia.org/wikipedia/commons/1/19/ManuelDeFalla.JPG";"https://en.wikipedia.org/wiki/Manuel_de_Falla";1738;"Manuel de Falla y Matheu was a Spanish composer. Along with Isaac Albéniz, Francisco Tárrega, and Enrique Granados, he was one of Spain's most important musicians of the first half of the 20th century. His image appeared on Spain's 1970 100-pesetas banknote.";0.49;"{""context_uri"": ""spotify:album:4u9wiUjm8L1s2uNdAgxhRP"", ""offset"": {""position"": 41}, ""position_ms"": 0}";3;0;0;0;0;"https://p.scdn.co/mp3-preview/c9e53ad5e14698dc8fd36efd794fad83bb4b4ef9?cid=3796d35078a440fd9c34dd8eefe7d600";3
96;"Hildegard of Bingen";"Hildegard";"Hildegard von Bingen";"Hildegard von Bingen";1098;1179;"Hildegard_of_Bingen";"Germany";"A Austria-Germany";"Medieval saint, prophetise, mystic and Doctor of Church";"https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Hildegard_von_Bingen.jpg/219px-Hildegard_von_Bingen.jpg";"https://upload.wikimedia.org/wikipedia/commons/b/ba/Hildegard_von_Bingen.jpg";"https://en.wikipedia.org/wiki/Hildegard_of_Bingen";11013;"Hildegard of Bingen, also known as Saint Hildegard and Sibyl of the Rhine, was a German Benedictine abbess, writer, composer, philosopher, Christian mystic, visionary, and polymath. She is considered to be the founder of scientific natural history in Germany.";0.23;"{""context_uri"":""spotify:album:6hRd5GEi2VWMkT4MBLfDe6"",""offset"":{""position"":0},""position_ms"":7000}";21;0;1;0;0;"https://p.scdn.co/mp3-preview/11b78e370f5b2ec060e8f71cd1b3a3e23c7f4384?cid=3796d35078a440fd9c34dd8eefe7d600";3
97;"Mikhail Glinka";"Glinka";"Mikhail Glinka";"Mikhail Glinka";1804;1857;"Mikhail_Glinka";"Russian Federation";"D Russia";"Russian composer";"https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Mikhail_Glinka_1840.jpg/206px-Mikhail_Glinka_1840.jpg";"https://upload.wikimedia.org/wikipedia/commons/1/1d/Mikhail_Glinka_1840.jpg";"https://en.wikipedia.org/wiki/Mikhail_Glinka";2409;"Mikhail Ivanovich Glinka was the first Russian composer to gain wide recognition within his own country, and is often regarded as the fountainhead of Russian classical music. Glinka's compositions were an important influence on future Russian composers, notably the members of The Five, who took Glinka's lead and produced a distinctive Russian style of music.";0.53;"{""context_uri"": ""spotify:album:2PTJpz7uSvn2VpkqLpQF92"", ""offset"": {""position"": 8}, ""position_ms"": 190000}";6;0;0;0;0;"https://p.scdn.co/mp3-preview/9ff0d7091b02ce8daf8a158a81af4f87769b7f4c?cid=3796d35078a440fd9c34dd8eefe7d600";2
